title,product_type,vendor,account,privacy_url,tc_url,notes
Passport,Index/Database,Euromonitor,optional,https://www-euromonitor-com.ezproxy.library.yorku.ca/privacy-policy,http://www.portal.euromonitor.com.ezproxy.library.yorku.ca/portal/policy/termsandconditions,
Film Platform,E-Video Collection,Film Platform,optional,https://filmplatform.net/privacy-policy/,,
Films for the Humanities Digital Collection ,Index/Database,Films Media Group,optional,http://support.infobaselearning.com/index.php?/Tech_Support/Knowledgebase/Article/View/1301/0/data-security-and-privacy-plan,http://digital.films.com/PortalTerms.aspx,
Films for the Humanities Digital Collection (YUL),Index/Database,Films Media Group,optional,http://support.infobaselearning.com/index.php?/Tech_Support/Knowledgebase/Article/View/1301/0/data-security-and-privacy-plan,http://digital.films.com/PortalTerms.aspx,
Mergent Online,Index/Database,Financial Information Services,optional,http://www.mergentonline.com/noticescm.php?pagetype=privacy,http://www.mergentonline.com/noticescm.php?pagetype=termsofuse,
17th-18th Century Burney Collection Newspapers,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
19th Century British Library Newspapers,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
19th Century UK Periodicals Digital Archive,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
19th Century US Newspapers,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
ABI/Inform Global,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Academic OneFile,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Acronyms, Initialisms & Abbreviations Dictionary 44th edition",E-Journals/Package,Gale,optional,https://www.gale.com/privacy,,
"Acronyms, Initialisms & Abbreviations Dictionary 46th ed.",E-Book Package,Gale,optional,https://www.gale.com/privacy,,
"Acronyms, Initialisms and Abbreviations Dictionary 41st edition",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Acronyms, Initialisms and Abbreviations Dictionary 42nd edition",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Acronyms, Initialisms and Abbreviations Dictionary 43rd edition",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Actes royaux français, 1256-1794",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Archives of Human Sexuality & Gender,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Book Review Index Plus,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
British Literary Manuscripts Online,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Canadian Periodical Index (via Gale),Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Contemporary Women's Issues,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Dictionary of Literary Biography,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Eighteenth Century Collections Online,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Encyclopaedia Judaica,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Encyclopedia Britannica Online,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Encyclopedia of Lesbian, Gay, Bisexual and Transgendered History in America",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Federal Response to Radicalism in the 1960s,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Feminism in Cuba, 1898-1958",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Financial Times Historical Archive (1888-2010),Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Foreign Relations between Latin America and the Caribbean States, 1930-1944",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Gale e-books,E-Book Package,Gale,optional,https://www.gale.com/privacy,,
Journaux de la Révolution de 1848,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
L'Affaire Dreyfus: son influence dans la création de la France moderne,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
La France pendant la guerre 1939-1945: Résistance et journaux de Vichy,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Literature Criticism Online,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Literature Resource Center,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Making of the Modern World Part 1-3,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
National Geographic Magazine Archive,E-Journals/Package,Gale,optional,https://www.gale.com/privacy#privacy,,
Nineteenth Century Collections Online,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Patriotes aux Armes!,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Post War Europe: Refugees, Exile and Resettlement, 1945-1950 Digital Archive",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Slavery and Anti-Slavery, a Transnational Archive",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
State Papers Online,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Testaments to the Holocaust,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"The Middle East Online: Arab-Israeli Relations, 1917-1970",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"The Middle East Online: Iraq, 1914-1974",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Times Digital Archive,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Ward's Business Directory,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Women, War and Society Digital Archive",Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
World Literature and Its Times - Volume 1: Latin American Literature and Its Times,Index/Database,Gale,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Illustrated London News Historical Archive 1942-2003.,Index/Database,Gale Cengage,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
"Sabin Americana, 1500-1926",Index/Database,Gale Cengage,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
Times Literary Supplement Historical Archive 1902 - 2010,Index/Database,Gale Cengage,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
The Economist Historical Archive,E-Journals/Package,Gale Cengage,,https://www.gale.com/privacy,https://www.gale.com/terms-of-use,
Archives of Sexuality and Gender: LGBTQ History & Culture since 1940 (Part 1 & 2),Index/Database,Gale Cengage Learning,optional,https://www.gale.com/privacy/statement,https://www.gale.com/terms-of-use,
MGG Online,Index/Database,GBR,optional,https://www.mgg-online.com/legal?type=policy&revision=2018-05-25&filename=en,https://www.mgg-online.com/legal?type=terms-use&revision=2018-05-25&filename=en,
SimplyAnalytics,Index/Database,Geographic Research Inc.,mandatory,https://assets.simplyanalytics.com/documents/SimplyAnalytics_Privacy_Statement.pdf,https://assets.simplyanalytics.com/documents/SimplyAnalytics_Web_Site_Copyright_Disclaimer.pdf,
GeoScienceWorld,E-Book Package,GeoScienceWorld,optional,,,
Global Financial Data,Index/Database,Global Financial Data,optional,https://www.globalfinancialdata.com/gfd/article/privacy-policy,,
Associations Canada,Index/Database,Grey House,optional,,https://circ.greyhouse.ca/page/license_terms_and_conditions,
Online Egyptological Bibliography OEB,Index/Database,Griffith Institute,optional,None,,
Greenleaf Online Library,E-Book Package,GSE Research,optional,https://taylorandfrancis.com/customer-privacy/,,
Hill Times Publishing,E-Journals/Package,Hill Times Publishing,optional,https://www.hilltimes.com/privacy-policy,https://www.hilltimes.com/terms-of-service,
Hindawi Publishing Corporation,E-Journals/Package,Hindawi Publishing,optional,https://www.hindawi.com/privacy/,https://www.hindawi.com/terms/,
Paper of Record,Index/Database,Hypernet Inc.,optional,http://paperofrecord.hypernet.ca/privacy.asp,,
IBISWorld ,Index/Database,IBISWorld,optional,https://clients1.ibisworld.com/about/us/privacy/,https://clients1.ibisworld.com/about/us/termsofuse/,
